query,device,impressions
dean meminger stats,Mobile,2
hakeem stats,Mobile,2
larry bird stat,Mobile,2
career stats for kobe bryant,Desktop,2
hakeem career stats,Desktop,2
lebron james stats,Mobile,2
larry bird points,Desktop,2
larry bird nba stats,Mobile,2
hauser stats,Mobile,2
larry bird ft percentage,Mobile,2
stephen curry career stats,Mobile,2
how tall is robert parish,Desktop,2
larry bird career steals,Mobile,2
jordan career averages,Desktop,2
larry bird career points,Mobile,2
m jordan stats,Desktop,2
michael jordan overall stats,Mobile,2
larry bird best stats,Desktop,2
steve adams playing position,Mobile,2
olajuwon stats,Mobile,2
curry steph stats,Desktop,2
statistiken für kobe bryant,Desktop,2
dinwiddie stats,Desktop,2
johnny bach,Mobile,2
michael jordan stats by year,Desktop,2
tony bobbitt,Mobile,2
mitch kupchak stats,Desktop,2
kareem nba stats,Desktop,2
kareem free throw percentage,Desktop,2
michael jordan stats career,Mobile,2
statistiques de hakeem olajuwon,Desktop,2
curry stat,Desktop,2
steve nash stats,Desktop,2
dennis rodman stats,Mobile,2
curry states,Desktop,2
michael jordan total career points,Desktop,2
tracy mcgrady career stats,Desktop,2
tracy mcgrady stats,Mobile,2
mj career points,Desktop,2
mj career stats,Mobile,2
winford boynes,Desktop,2
statistiken für stephen curry,Desktop,2
michael jordon stats,Desktop,2
stats steph curry,Desktop,2
steph curry career averages,Desktop,2
darius garland stats,Mobile,2
michale jordan stats,Desktop,2
n jokic stats,Desktop,2
steph curry nba stats,Desktop,2
shayne whittington,Desktop,2
jordan's career stats,Mobile,2
jordan's stats,Desktop,2
curry stephen stats,Desktop,2
kobe bryant basketball stats,Mobile,2
dennis rodman stats,Desktop,2
shai gilgeous-alexander stats,Desktop,2
jordan stat,Desktop,2
jordan basketball stats,Desktop,2
kareem abdul jabar stats,Desktop,2
stats of michael jordan,Mobile,2
nikola jokic career stats,Desktop,1
micheal.jordan stats,Desktop,1
mighty mouse nba,Desktop,1
mike harper (basketball),Desktop,1
nikola jokic stars,Desktop,1
mj career averages,Desktop,1
nikola jokic carrer,Desktop,1
nikola jokic state,Desktop,1
wilt chamberlain career stats,Mobile,1
mike jordan stats,Mobile,1
nikola jokic stas,Desktop,1
mindaugas kuzminskas stats,Mobile,1
nikola jokic statistika,Desktop,1
nikola jokic career high,Desktop,1
steve francis stats,Mobile,1
nikola jocic stats,Desktop,1
stephen curry statistics,Mobile,1
morlon wiley,Desktop,1
stephen.curry stats,Desktop,1
naji marshall height,Desktop,1
naji marshall age,Desktop,1
naji marshall stats,Mobile,1
n jokic stats,Mobile,1
stephen stats,Desktop,1
nikola jokic stats career,Desktop,1
naz mitrou long stats,Mobile,1
stephen currystats,Desktop,1
naz mitrou-long stats,Desktop,1
naz mitrou-long stats,Mobile,1
steve nash mvp stats,Desktop,1
nba michael jordan stats,Desktop,1
wilt chamberlain statistics,Desktop,1
wilt chamberlain stats,Mobile,1
nikola jokic career assists,Desktop,1
mochael jordan stats,Desktop,1
mj.stats,Mobile,1
stephen curry stays,Desktop,1
nba stats michael jordan,Mobile,1
wilt chamberlain stats by year,Desktop,1
nba stephen curry stats,Desktop,1
terry furlow stats,Mobile,1
mj stas,Mobile,1
mj nba stats,Desktop,1
nikila jokic stats,Desktop,1
nikol jokic stats,Desktop,1
naji marshall position,Desktop,1
steven adams career points,Desktop,1
theo maledon stats,Desktop,1
willy hernangomez age,Mobile,1
tony bobbitt stats,Mobile,1
nikola jokic stats nba,Desktop,1
shane whittington,Desktop,1
statistiken für kareem abdul-jabbar,Desktop,1
vincent yarbrough,Desktop,1
steph curry basketball stats,Desktop,1
statistiken für hakeem olajuwon,Mobile,1
statistiken für hakeem olajuwon,Desktop,1
statistiken für dennis rodman,Mobile,1
spencer dinwiddie stats,Mobile,1
steph curry career rebounds,Desktop,1
shai gilgeous-alexander stats,Mobile,1
stephen curry stas,Mobile,1
shai gilgeous-alexander career stats,Desktop,1
shai gilgeous alexander career stats,Mobile,1
sean green nba,Desktop,1
steph curry nba stats,Mobile,1
steph curry stars,Desktop,1
sarunas jasikevicius nba,Desktop,1
sam hauser stats per game,Mobile,1
steph curry statistics,Desktop,1
steph curry averages,Desktop,1
statistiken für kareem abdul-jabbar,Mobile,1
steph curry atats,Desktop,1
troy daniels stats,Mobile,1
stats kobe bryant,Mobile,1
tony farmer nba,Desktop,1
tracy mcgrady career points,Desktop,1
stats for steph curry,Desktop,1
statistiques de shai gilgeous-alexander,Desktop,1
statistiques de nikola jokić,Mobile,1
stats on kobe bryant,Mobile,1
statistiques de michael jordan,Desktop,1
statistiques de kobe bryant,Desktop,1
statistiques de de'anthony melton,Desktop,1
statistiques de anfernee simons,Mobile,1
statistiken für stephen curry,Mobile,1
statistiken für nikola jokić,Mobile,1
steohen curry stats,Desktop,1
statistiken für michael jordan,Mobile,1
stepg curry stats,Desktop,1
statistiken für kareem abdul-jabbar,Tablet,1
t-mac stats,Desktop,1
sam hauser record,Mobile,1
sam hauser playoff stats,Mobile,1
stephen curry career rebounds,Desktop,1
rick fox basketball stats,Desktop,1
stephen curry career statistics,Desktop,1
parish stats,Mobile,1
oshae brissett stats,Desktop,1
orlando robinson stats,Desktop,1
who did robert parish play for,Mobile,1
odom stats,Desktop,1
nikoli jokic stats,Desktop,1
nikolajokic stats,Desktop,1
nikola.jokic stats,Mobile,1
stephen curry games played,Desktop,1
nikola stats,Mobile,1
nikola stats,Desktop,1
wilkins stats,Mobile,1
nikola jokicstats,Desktop,1
nikola jokic ststs,Desktop,1
stephen curry points in career,Desktop,1
rick fox basketball stats,Mobile,1
what is kareem abdul jabbar career high in points,Desktop,1
sam hauser minutes,Mobile,1
wesley matthews stats,Desktop,1
